165346,4535111,2823847,3290521,4078099,2253741,-107,-133,1319,570,283,679,-49,2,-35,-42,21,1311,354,462,782,2,9,-37,
165346,4535554,2823847,3290521,4078099,2253741,-59,-140,1334,566,281,668,-44,1,-29,-38,25,1291,354,462,782,-10,10,-36,
165346,4535554,2828260,3290521,4078099,2253741,-100,-132,1311,566,281,685,-51,1,-32,-71,14,1322,354,454,785,-5,2,-36,
165346,4535554,2828260,3299154,4078099,2253741,-106,-121,1280,566,281,685,-54,1,-25,-38,26,1302,354,454,785,3,3,-31,
165346,4535554,2828260,3299154,4075377,2253741,-112,-133,1322,566,281,681,-51,0,-35,-61,12,1314,355,452,778,4,2,-32,
165346,4535554,2828260,3299154,4075377,2252870,-92,-127,1357,566,281,681,-47,3,-24,-34,30,1294,355,452,778,2,7,-33,
165346,4535554,2828260,3299154,4075377,2252870,-84,-120,1383,565,282,675,-47,1,-33,-48,18,1321,354,461,777,-3,-2,-34,
165346,4535554,2828260,3299154,4075377,2252870,-81,-144,1311,565,282,675,-54,-4,-33,-62,21,1310,354,461,777,3,3,-30,
165401,4535554,2828260,3299154,4075377,2252870,-97,-143,1306,565,285,673,-57,-8,-33,-50,21,1294,353,461,782,-5,5,-28,
165401,4535075,2828260,3299154,4075377,2252870,-76,-131,1357,567,282,681,-49,2,-36,-48,29,1290,354,455,768,-9,-2,-31,
165401,4535075,2819008,3299154,4075377,2252870,-96,-128,1332,567,282,681,-49,-2,-32,-62,20,1295,354,455,768,-3,-3,-31,
165401,4535075,2819008,3304324,4075377,2252870,-107,-130,1351,568,283,678,-53,2,-25,-55,24,1309,354,458,791,2,-5,-35,
165401,4535075,2819008,3304324,4072624,2252870,-90,-128,1330,568,283,678,-51,5,-24,-43,18,1296,354,458,791,-5,-6,-36,
165401,4535075,2819008,3304324,4072624,2248782,-115,-124,1312,565,288,676,-47,3,-38,-45,16,1309,354,454,790,2,0,-26,
165401,4535075,2819008,3304324,4072624,2248782,-91,-138,1335,565,283,675,-45,6,-29,-55,24,1319,354,454,790,0,-4,-32,
165401,4535075,2819008,3304324,4072624,2248782,-90,-141,1314,567,283,675,-51,1,-28,-49,19,1313,355,462,795,-1,-9,-33,
165382,4535075,2819008,3304324,4072624,2248782,-83,-133,1352,570,282,678,-48,4,-31,-49,12,1314,350,452,785,0,-2,-33,
165382,4535640,2819008,3304324,4072624,2248782,-83,-147,1341,570,282,678,-50,0,-30,-54,22,1300,350,452,785,-10,7,-41,
165382,4535640,2820180,3304324,4072624,2248782,-97,-126,1316,567,282,676,-51,2,-28,-48,31,1307,351,457,775,-2,8,-36,
165382,4535640,2820180,3313755,4072624,2248782,-79,-130,1309,567,282,676,-54,3,-27,-46,26,1310,351,457,775,-1,4,-29,
165382,4535640,2820180,3313755,4072371,2248782,-85,-133,1341,564,288,678,-50,4,-27,-61,39,1310,354,456,780,0,-2,-25,
165382,4535640,2820180,3313755,4072371,2247311,-112,-122,1292,563,280,682,-45,8,-28,-63,20,1327,354,456,780,-1,-4,-32,
165382,4535640,2820180,3313755,4072371,2247311,-83,-130,1353,563,280,682,-46,-2,-35,-53,23,1275,352,463,791,-7,6,-38,
165382,4535640,2820180,3313755,4072371,2247311,-107,-124,1345,569,281,683,-48,2,-40,-67,11,1318,352,463,791,-16,-251,-28,
165370,4535640,2820180,3313755,4072371,2247311,-79,-124,1353,569,281,683,-44,5,-34,-67,13,1336,352,456,781,0,-1,-33,
165370,4536290,2820180,3313755,4072371,2247311,-76,-147,1287,566,287,678,-44,4,-31,-57,26,1293,355,458,774,-1,2,-33,
165370,4536290,2824478,3313755,4072371,2247311,-98,-115,1374,569,285,666,-52,0,-25,-36,20,1315,355,458,774,4,2,-29,
165370,4536290,2824478,3322478,4072371,2247311,-79,-126,1343,569,285,666,-57,-1,-25,-44,10,1310,354,452,781,-2,-2,-33,
165370,4536290,2824478,3322478,4067124,2247311,-116,-132,1286,566,283,673,-52,-1,-33,-52,15,1319,354,452,781,-8,-3,-35,
165370,4536290,2824478,3322478,4067124,2250555,-82,-127,1359,566,283,673,-49,4,-30,-58,21,1306,351,455,784,-1,5,-31,
